AAPL,AMZN,GOOGL,JPM,KO,META,MSFT,NVDA
168.33932495117188,161.48599243164062,137.53277587890625,150.09742736816406,53.26365661621094,325.5155029296875,303.3897705078125,27.345542907714844
171.16468811035156,165.36199951171875,138.5905303955078,150.24993896484375,53.28128433227539,331.7664794921875,304.0752258300781,27.761714935302734
171.6046142578125,165.20700073242188,140.2711639404297,151.10214233398438,53.36061096191406,330.6651611328125,307.25128173828125,27.943355560302734
168.33932495117188,161.21400451660156,137.4509735107422,150.91372680664062,53.677921295166016,323.93792724609375,294.2476806640625,26.522186279296875
169.19964599609375,162.13800048828125,138.33714294433594,141.63804626464844,54.10980987548828,329.31573486328125,299.4607238769531,26.88845443725586
166.00279235839844,158.91749572753906,134.88319396972656,135.69949340820312,53.677921295166016,315.6728210449219,292.17205810546875,25.851524353027344
162.5126190185547,156.2989959716797,134.00892639160156,133.60028076171875,53.76606750488281,317.1015319824219,292.82855224609375,25.01717758178711
160.83106994628906,151.66749572753906,132.2147216796875,132.46107482910156,53.54570770263672,314.0951232910156,291.1584167480469,24.102006912231445
158.778076171875,142.64300537109375,129.28298950195312,130.1466064453125,53.28128433227539,300.8094482421875,285.7812805175781,23.327545166015625
158.0056915283203,144.54400634765625,129.73179626464844,130.02999877929688,52.84939193725586,306.3062744140625,286.1095275878906,23.325546264648438
156.2068328857422,139.98599243164062,125.89448547363281,131.44737243652344,52.72599792480469,297.8128967285156,278.5023193359375,22.279634475708008
156.11888122558594,138.87249755859375,128.17364501953125,132.6942901611328,52.53208541870117,292.3359069824219,286.4377746582031,22.726743698120117
155.65936279296875,139.6374969482422,127.947509765625,130.3529052734375,52.57615661621094,292.3458557128906,289.4593811035156,21.900390625
166.52093505859375,143.97799682617188,132.2578887939453,131.51910400390625,53.62504196166992,299.36077880859375,297.587890625,22.79461097717285
170.87144470214844,149.57350158691406,134.1943817138672,133.30430603027344,53.77487564086914,310.8208923339844,300.2137451171875,24.437334060668945
170.70521545410156,151.19349670410156,136.51568603515625,135.59181213378906,53.37824630737305,316.51611328125,298.07049560546875,24.58903694152832
171.90773010253906,150.6125030517578,146.7867889404297,134.50637817382812,53.92471694946289,320.48504638671875,302.60772705078125,25.191837310791016
169.033447265625,138.8455047607422,141.91705322265625,133.39398193359375,54.30371856689453,235.90869140625,290.820556640625,23.900409698486328
168.74961853027344,157.63949584960938,142.11842346191406,136.85665893554688,53.730812072753906,235.24391174316406,295.3481750488281,24.270673751831055
168.03500366210938,157.9355010986328,138.0599365234375,137.314208984375,54.29490280151367,223.15878295898438,290.53094482421875,24.67885971069336
171.1380615234375,161.4134979248047,138.25633239746094,139.8977508544922,54.647464752197266,218.46559143066406,294.0159912109375,25.058103561401367
172.55743408203125,161.1894989013672,140.43133544921875,140.48085021972656,53.80132293701172,230.19354248046875,300.4357604980469,26.651926040649414
168.4853057861328,159.0034942626953,137.48367309570312,139.8977508544922,54.10099411010742,226.29417419433594,291.91143798828125,25.772676467895508
165.07879638671875,153.2935028076172,133.18174743652344,138.07667541503906,53.14026641845703,217.8405303955078,284.8255310058594,23.90140724182129
165.313720703125,155.16700744628906,134.41505432128906,136.7938995361328,53.4840087890625,216.0048828125,284.78692626953125,24.218769073486328
169.14111328125,156.510498046875,135.4886932373047,138.7943572998047,53.686729431152344,219.27920532226562,290.06756591796875,26.442340850830078
168.90618896484375,158.10049438476562,136.60891723632812,139.04554748535156,53.677921295166016,214.8539276123047,289.7289733886719,26.458311080932617
165.313720703125,154.65249633789062,131.4525604248047,135.8429718017578,54.75324630737305,206.0926971435547,281.2451477050781,24.45829200744629
163.76707458496094,152.60150146484375,129.3340606689453,136.47991943359375,55.12343978881836,204.55477905273438,278.5364074707031,23.595014572143555
160.85000610351562,150.19749450683594,128.74937438964844,136.23770141601562,54.89427185058594,200.50653076171875,278.3332824707031,23.343517303466797
156.6897735595703,144.82699584960938,126.54212951660156,133.385009765625,54.28609848022461,196.90478515625,271.12640380859375,22.34250831604004
